,,PE_RATIO,EV_TO_T12M_EBITDA,INVENT_TURN,EBIT_MARGIN,NET_DEBT_TO_EBITDA,NET_FIX_ASSET_TURN,TRAILING_12M_CASH_FLOW_MARGIN,TRAIL_12M_NET_SALES
397 HK Equity,20121231,#N/A N/A,#N/A N/A,2.691280658,-162.4478196,#N/A N/A,0.116366243,#N/A N/A,73.543
1387 HK Equity,20121231,16.91442263,2.419648697,#N/A N/A,#N/A N/A,1.24784218,#N/A N/A,#N/A N/A,#N/A N/A
152 HK Equity,20121231,155.842559,6.945799291,759.199943,47.49014845,3.0874813,1.207011619,36.65275051,5695.297
2823 HK Equity,20121231,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
3800 HK Equity,20121231,14.69841155,11.5012153,5.248884007,12.46987022,6.26121472,0.561244865,-25.5325119,18073.48405
1339 HK Equity,20121231,16.87601883,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,245930
939 HK Equity,20121231,7.458309232,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2324 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3988 HK Equity,20121231,6.104832117,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.517869053,#N/A N/A,602878
723 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,74.687
3339 HK Equity,20121231,10.25557832,5.595553456,2.041063465,15.74339898,1.9187357,2.394453758,3.708784999,9046.979
566 HK Equity,20121231,#N/A N/A,1.759177383,4.285315316,59.45408053,0.297831018,21.82937042,8.843694806,3388.595
269 HK Equity,20121231,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2665.433
3333 HK Equity,20121231,21.72198196,4.434508607,0.482387054,29.95154964,2.004125169,2.82940718,7.697032666,66901.47
196 HK Equity,20121231,4.420234169,3.67732931,1.460451687,10.02345227,-2.607902344,3.069282132,41.59837041,4159.086
